Título,Descripción,Duración,Enlace
Atrapen Al Gringo,"Un criminal capturado por las autoridades mexicanas es enviado a una prisión de mala muerte, donde debe recibir la ayuda de un niño de 10 años.",1hr 36 min,https://pluto.tv/on-demand/movies/6549364e2a6001001ab5604a
Kickboxer,"Cuando el campeón americano de kickboxing queda inválido al enfrentarse a un despiadado campeón tailandés, su hermano jura vengarse.",1hr 37 min,https://pluto.tv/on-demand/movies/656dfe8c12fb50001393911b
El Guardaespaldas,"Un policía de Los Ángeles vuela a Nuevo Mexico para trabajar como guardaespaldas de la hija de un poderoso hombre de negocios. Cuando unos gángsters la raptan, él los busca para rescatarla y protegerla.",1hr 34 min,https://pluto.tv/on-demand/movies/60c8abe036537d0013320c0e
La Armadura de Dios,"La ex novia de Asian Hawk (Jackie Chan), una cazadora de tesoros y su mejor amiga actual son secuestradas por villanos. Para ayudar a rescatarla, tendrá que encontrar la Armadura de Dios, que hace que quien la lleve sea invencible.",1hr 38 min,https://pluto.tv/on-demand/movies/5f9af29a397eee001abb24ef
"Conan, el bárbaro","Hace muchos años, los brujos crearon la Máscara de Acheron y las fuerzas oscuras de Acheron conquistaron el mundo. Sin embargo, los bárbaros vencieron a los guerreros Acheron y rompieron la Máscara en pedazos y se dividieron entre las tribus.",1hr 52 min,https://pluto.tv/on-demand/movies/5e552dc95c1e25001a24f3a0
Until Death,Jean-Claude Van Damme interpreta a un teniente sucio al que le gusta la heroína. Es amigo de los mafiosos del crimen organizado y todos lo odian.,1hr 46 min,https://pluto.tv/on-demand/movies/5e9da6c03f9336001a5ddf0f
The Myth,"En 221 A.C, Qin Shihuang, el primer emperador de China, comenzó a construir una tumba real a pesar de pretender ser inmortal.",2hr,https://pluto.tv/on-demand/movies/5e5ff369e2fa10001bebda56
Killing Salazar,"Tom Jensen, un soldado altamente condecorado y el miembro más nuevo del servicio de transportando de los US Marshals, es asignado al transporte de Joseph “El Tiburón” Salazar de regreso a Estados Unidos donde testificará contra su antiguo cartel.",1hr 35 min,https://pluto.tv/on-demand/movies/603e6209049634001a5f321e
Swelter,"Diez años después de su atraco en el casino, cuatro convictos escaparon de su antiguo compañero a una ciudad desierta, donde ahora es un hombre de la ley sin memoria de su pasado criminal.",Thriller,https://pluto.tv/on-demand/movies/5ea300780c8fd6001ad8609f
Badges of Fury,"Una ola de asesinatos sacude Hong Kong. El joven detective Wang Bu Er está seguro que son obra de un asesino en serie y, junto a su compañero Huang Fei Hong, maestro de kung-fu emprenderán una trepidante aventura para investigar el caso.",1hr 38 min,https://pluto.tv/on-demand/movies/5eaaeb0d718be7001af50ba4
Operación Condor - La Armadura de Dios 2,"Jackie, un talentoso cazador de tesoros, es contratado para recuperar 240 toneladas de oro que un comandante alemán, Hans von Katterling, y su regimiento enterraron en el desierto del Sahara antes del final de la Segunda Guerra Mundial.",1hr 47 min,https://pluto.tv/on-demand/movies/5fa95cd39d991c001a9ccae9
El Vendedor Chino,"Yan Jian, un joven ingeniero chino se ofrece para ir al norte de África y ayudar a la compañía para la que trabaja a ganar una competencia. El espía francés Michael también intenta ganarla para controlar los grandes recursos minerales de África.",1hr 50 min,https://pluto.tv/on-demand/movies/5f7b8798e4b56900138b7f7c
Contract To Kill,"John Harmon es un agente retirado del gobierno estadounidense conocido por derribar a la cabeza del cartel más grande de México. Ahora escondido en la peligrosa región fronteriza, Harmon es ""reactivado"" para un último trabajo.",1hr 29 min,https://pluto.tv/on-demand/movies/60f096ae0bb675001323d3ab
Tráfico Humano,"Traumatizado por la muerte de un inocente, Bradley, un asesino a sueldo, se aparta de la sociedad y deambula por las peligrosas calles de un duro gueto del centro de la ciudad en busca de sentido para su vida.",1hr 37 min,https://pluto.tv/on-demand/movies/62bf189b5a39ee0013b3aae1
Kickboxer Represalias,"Kurt Sloan se ha prometido a sí mismo que no volvería a Tailandia, pero alguien le seda y le obliga a volver al país asiático. Cuando despierta, descubre que está en prisión porque quieren que se enfrente a Mongkut.",1hr 50 min,https://pluto.tv/on-demand/movies/6141f410bce9e900135a595d
Dragon Blade,"Huo An es un comandante de la Brigada de Protección de las regiones occidentales, que se ve envuelto en las garras del mal y queda esclavizado.",1hr 43 min,https://pluto.tv/on-demand/movies/5e6ff3674698db001ab3dda1
The Warlords,El general imperial Pang Qingyun sobrevive a una batalla que acabó con todo su batallón.,1hr 53 min,https://pluto.tv/on-demand/movies/5f3301191e712200131d94e8
